full_text,label
dezet mengabarkan ganti udud,1
hasil deklarasi solo cak imin ga menang barisan dirapatkan baju putih hitam ga nongol solo,1
inpokan adam dezet,1
bismillaahh doa kencang rajin nonton najwa shiha,3
milik lamapun berkabar mencintaimu takut takut khawatir najwa shihab,2
najwa shiha teu cuan,1
pk deklarasi separoh hati takut kalah telak yg digadang cak imin prabowo anies,2
kasian ngefans tim semenjana,1
yuk yuk orang yg berwawasan yh minimal kaya mba najwa shihab,1
manusia berubah kesadarannya meningkat hatinya hancur najwa shiha,1
ayo kak jd ketua kpk ntar biar bu presidennya the power of emak emak,1
setuju dipulangin jg prcuma klo mreka aja berbuat onar jg,2
ngapain ngerinya indonesia berbuat yg kejahatan sejenis begal yg sadis lgi merajalela,2
orang dapet kesempatan kuliah mesir dimanfaatin yg bener mukulin orang,1
masyarakat indonesia memandang alim title mesirnya kelakuan buruk manusia kolong jembatan semoga budaya buruk negeri malu indonesia dikenal ramah berkasih sayang mata orang,1
