full_text,label
nama erick thohir penentu kemenangan ganjar pranowo prabowo subianto erick thohir digadang gadangkan cawapres penentu kemenangan capres,2
tangisan anak korban prabowo subianto tuntut bertangung jawa,2
prabowo subianto kekeh ri ganjar pranowo indonesia iriana layak ri mendampingi cc,2
pembantaian aktivis prabowo subianto budiman sudjatmiko sekedar,2
nama erick thohir penentu kemenangan ganjar pranowo prabowo subianto erick thohir digadang gadangkan cawapres penentu kemenangan capres,2
munafik budiman sujatmiko munafik kritik prabowo subianto mendukung jabatan,2
budiman sujatmiko munafik kritik prabowo subianto mendukung jabatan,2
elite pk prabowo berkhianat gandeng cak imin cawapres prabowo prabowosubianto prabowountuksemua,2
prabowo menghormati presiden prabowo prabowosubianto prabowopresiden prabowopresiden dunsanakprabowo,2
pesan harisson milad persatuan orang melayu pom prabowountuksemua kodekita prabowosubianto,1
prabowo subianto bikin rugi negara beli pesawat tua ngada gunanya buang uang rakyat,3
prabowo subianto capres arogan diktator pemimpin,2
tolak prabowo subianto pelanggar ham berat penculikan aktivis,2
jokowi hadiri program ktt g outreach bertemu prabowo prabowosubianto prabowountuksemua,2
jokowi pemda visa mastercard bos visa indonesia prabowo prabowosubianto prabowountuksemua,2
efek dukungan jokowi tingkat elektabilitas prabowo subianto kian melesat,2
gagal jaga amanat jokowi prabowo subianto beli pesawat bekas,2
prabowo subianto capres anti pres gimana,3
