created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jul 25 16:08:04 +0000 2023;1683871748004122625;"Ada kegiatan apa saja yang berlangsung ? Mari kita sama-sama saksikan video selengkapnya..  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #MEnangkanGAnjar #MEnangkanGAnjarTotal https://t.co/uq7JsLWSWH";0;0;0;0;in;1479757801299738627;1683871496392036358;4_gp2024;https://twitter.com/4_gp2024/status/1683871748004122625
Tue Jul 25 16:07:27 +0000 2023;1683871594199011330;"kegiatan yang sangat bermanfaat.  Seperti apa kegiatannya ? Mari kita saksikan video selengkapnya..  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #MEnangkanGAnjar #MEnangkanGAnjarTotal https://t.co/Ol69TKJQYs";0;0;0;0;in;1479757801299738627;1683871315353276416;4_gp2024;https://twitter.com/4_gp2024/status/1683871594199011330
Tue Jul 25 16:06:58 +0000 2023;1683871474166407168;"@Anak__Ogi @seruanhl @ganjarpranowo Ganjar masa depan....";0;0;0;0;in;243992097;1683816327172222976;muji_haryaka;https://twitter.com/muji_haryaka/status/1683871474166407168
Tue Jul 25 16:06:16 +0000 2023;1683871295593918466;"@AirinDatangLagi @ganjarpranowo @prabowo Pendukuung mencerminkan yang didukungnya.. blank soal membaca https://t.co/dv3ri45kpJ";0;0;0;0;in;2290227306;1683862492290617344;majeliskopi08;https://twitter.com/majeliskopi08/status/1683871295593918466
Tue Jul 25 16:06:08 +0000 2023;1683871261754261505;"Pak @ganjarpranowo diwakili om A, VS Pak @prabowo diwakili om A.   Hajarrr omm.. 2x menang VS 2x kalah";0;0;0;0;in;1676887597287899136;1683871261754261505;Relawan_RI;https://twitter.com/Relawan_RI/status/1683871261754261505
Tue Jul 25 16:05:11 +0000 2023;1683871024432152577;"@sandiuno @DPP_PPP @ganjarpranowo 2019 saya korban waktu dan harta utk dukung anda.tpi maaf..2024 saya dah mantab dukung Pak Anies.Bye..... https://t.co/0R7B5ALIIc";0;0;0;0;in;1577316509470248960;1683057846110519296;HilNadya;https://twitter.com/HilNadya/status/1683871024432152577
Tue Jul 25 16:05:09 +0000 2023;1683871015481532416;"@Anak__Ogi @ganjarpranowo Capres orang2 tolol";0;0;0;0;in;911673865;1683816327172222976;edi_ollo;https://twitter.com/edi_ollo/status/1683871015481532416
Tue Jul 25 16:05:07 +0000 2023;1683871005062864898;"@ch_chotimah2 @ganjarpranowo https://t.co/Nx8DGs2JAg Ngeri";0;0;0;0;in;1626500793774796801;1683659567987838976;GookJwish;https://twitter.com/GookJwish/status/1683871005062864898
Tue Jul 25 16:04:57 +0000 2023;1683870964315197442;"Usaha Menekan Angka Kemiskinan, Ganjar Turun Langsung Untuk Pastikan Program Berjalan Baik.  Gubernur Jawa Tengah Ganjar Pranowo terus berupaya untuk menekan angka kemiskinan ekstrem di wilayahnya. Politikus berambut putih itu kerap turun ke bawah untuk memastikan programnya… https://t.co/pMlK0GtBSN";0;0;0;1;in;153407983;1683870964315197442;PDI_Perjuangan;https://twitter.com/PDI_Perjuangan/status/1683870964315197442
Tue Jul 25 16:04:56 +0000 2023;1683870962360664065;"@bobby_risakotta @Hary_Tanoe @PartaiPerindo @jokowi @ganjarpranowo https://t.co/Nx8DGs2JAg Ngeri";0;0;0;0;in;1626500793774796801;1683687296837758978;GookJwish;https://twitter.com/GookJwish/status/1683870962360664065
Tue Jul 25 16:04:25 +0000 2023;1683870831326429184;"@SETYAKI22965702 @ganjarpranowo Semoga yg maha Kuasa memberikan keselamatan, kesehatan juga berkat bagi keluarga besar pak ganjar pranowo, amin 🙏";0;0;0;0;in;1434525763814838274;1683621906900201472;PinaalphineM;https://twitter.com/PinaalphineM/status/1683870831326429184
