created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jul 26 00:21:30 +0000 2023;1683995923964383232;"Hidup Yang Tidak Di Pertaruhkan, Tidak Akan Dimenangkan.. @NajwaShihab";0;0;0;0;in;948149220602552320;1683995923964383232;_menyol7;https://twitter.com/_menyol7/status/1683995923964383232
Tue Jul 25 17:35:21 +0000 2023;1683893716443095040;"@kisahamatir Bahkan manusia aja lebih binatang dari pada binatang sendiri, masalah ini ada anak kecil yang perkosa astaghfirullah,kdrt pula memang anj. Dimna hati naruni si anj" biadab ini!!!! Tolong wahai para petinggi" negara ini!! @NajwaShihab @MataNajwa  Klau perlu hukum mati pelaku nya";0;0;0;0;in;1391727517464027138;1683675244127715329;Online_clown;https://twitter.com/Online_clown/status/1683893716443095040
Tue Jul 25 17:19:39 +0000 2023;1683889762279780353;"@shoppeee11 @kisahamatir @kaesangp @gibran_tweet @jokowi @TMCPoldaMetro @NajwaShihab @medan jualan si jualan, tp liat konteks dong asw";0;0;0;0;in;1615975921277890560;1683675244127715329;kiaaakiuuu;https://twitter.com/kiaaakiuuu/status/1683889762279780353
Tue Jul 25 16:56:38 +0000 2023;1683883973318160385;"@Lockeygirl2 @mylolworld_ @kisahamatir @kaesangp @jokowi @JeromePolin @TMCPoldaMetro @medan @NajwaShihab @MataNajwa Up smoga dapat keadilan";0;0;0;0;in;865907773858381826;1683675244127715329;kintilxxxxxx;https://twitter.com/kintilxxxxxx/status/1683883973318160385
Tue Jul 25 16:52:31 +0000 2023;1683882935290839041;"Motivasi Najwa Shihab https://t.co/fkqXptn9JT";0;0;0;0;in;1592011276028235776;1683882935290839041;prawiranews;https://twitter.com/prawiranews/status/1683882935290839041
Tue Jul 25 15:56:03 +0000 2023;1683868726595305472;"@mylolworld_ @kisahamatir @kaesangp @jokowi @JeromePolin @TMCPoldaMetro @medan @NajwaShihab @MataNajwa Up terus";0;0;0;0;in;1597696614713282560;1683675244127715329;sobgan_;https://twitter.com/sobgan_/status/1683868726595305472
Tue Jul 25 15:18:12 +0000 2023;1683859198436859904;"@mylolworld_ @kisahamatir @kaesangp @jokowi @JeromePolin @TMCPoldaMetro @medan @NajwaShihab @MataNajwa @gibran_tweet maaf mas gibran saya ikut ngetag, biar banyak yang baca jugaa😭🙏🙏";0;0;0;0;in;1127387671448276992;1683675244127715329;mitasop;https://twitter.com/mitasop/status/1683859198436859904
Tue Jul 25 14:49:04 +0000 2023;1683851866764111873;"@kisahamatir @NajwaShihab @MataNajwa @kaesangp @jokowi @TMCPoldaMetro bantu up kasus ini pak bu kak mas mba Ngeliat anaknya di video bener bener sakit banget hatiku ga tega ga sanggup,ngebayangin kak nayya ini trauma nya segimana beratnya,lekas membaik ya kak nayya…";0;0;0;0;in;1661894962215268354;1683675244127715329;prasssayuu;https://twitter.com/prasssayuu/status/1683851866764111873
Tue Jul 25 14:39:01 +0000 2023;1683849337615548417;"Kritik Najwa Shihab buat oknum ustad dadakan yang jdi buzzerRp 👍  || Xwitter Alshad Na PD Bu Susi BERNAFAS Garis Hitam Putih Geulis Al Hilal Logo Twitter jongin pt vale Sibungbung Enies Lobby RED VELVET || https://t.co/SNd3sCkNwc";0;0;10;11;in;1593436759874232320;1683849337615548417;fitri_yuningsi;https://twitter.com/fitri_yuningsi/status/1683849337615548417
Tue Jul 25 14:18:46 +0000 2023;1683844243402690560;"@kisahamatir sumpah ini perlu ditolong  @xcintakiehlx @MataNajwa @NajwaShihab";0;0;0;0;in;1618805648661282817;1683675244127715329;wiwkiwkiw;https://twitter.com/wiwkiwkiw/status/1683844243402690560
Tue Jul 25 14:18:38 +0000 2023;1683844208652869632;"@kisahamatir bantu up @gibran_tweet @kaesangp @MataNajwa @NajwaShihab";0;0;0;0;in;1672146526070779904;1683675244127715329;_ssssszo;https://twitter.com/_ssssszo/status/1683844208652869632
Tue Jul 25 13:59:26 +0000 2023;1683839376424595456;"Kak @NajwaShihab , @MataNajwa , sekali-sekali bahas mengenai peraturan mengenai hal dan wewenang PJ Gubernur donk, terutama PJ gubernur DKI. Baru kali ini kedengaran kalau ada PJ Gubernur suka mengganti kebijakan. Yang diganti malah yang bagus-bagus pula menurut masyarakatnya. https://t.co/vSMsCzTSsT";0;0;0;0;in;3013992270;1683839376424595456;AbdiYanzil;https://twitter.com/AbdiYanzil/status/1683839376424595456
Tue Jul 25 13:45:22 +0000 2023;1683835837279248384;"@biezl_ @grieztilicious @jokowi @Kemlu_RI @NajwaShihab Jelasin dungs jangan cuma minimal minimal aja";0;0;0;1;in;1251734269791068160;1682966551316578304;fixyou______;https://twitter.com/fixyou______/status/1683835837279248384
Tue Jul 25 13:35:48 +0000 2023;1683833429862023172;"@mylolworld_ @kisahamatir @kaesangp @jokowi @JeromePolin @TMCPoldaMetro @medan @NajwaShihab @MataNajwa manusia2 jahanam dibinasaratakan aja semua. @bobbynasution_ @SammiSoh @TMCPoldaMetro &amp  @KontraS @ylbhi_lbhmedan ayok yang gini2 dibantu pak, jangan malah memperjuangkan HAM para pelaku begal!";0;0;0;1;in;1462969462844366849;1683675244127715329;gonnabegreat18;https://twitter.com/gonnabegreat18/status/1683833429862023172
Tue Jul 25 13:02:28 +0000 2023;1683825039853129728;"Mba Nana tolong bantu keluarga ibu ini supaya anak nya dpt keadilan @narasitv @NajwaShihab https://t.co/LnIDLrWYeS";0;0;0;0;in;1593875222725214209;1683825039853129728;AnisaIsa13;https://twitter.com/AnisaIsa13/status/1683825039853129728
Tue Jul 25 12:54:23 +0000 2023;1683823005347246080;"@mylolworld_ @kisahamatir @kaesangp @jokowi @JeromePolin @TMCPoldaMetro @medan @NajwaShihab @MataNajwa Tag ini juga @bobbynasution_";0;0;0;0;in;1473610076380303360;1683675244127715329;HYUNSUKRG;https://twitter.com/HYUNSUKRG/status/1683823005347246080
Tue Jul 25 12:45:14 +0000 2023;1683820702603018244;"@PermataCare cs nyomong mulu kaya najwa shihab";0;1;0;0;in;1030033158;1683653841320030208;rsydkahf;https://twitter.com/rsydkahf/status/1683820702603018244
Tue Jul 25 12:32:05 +0000 2023;1683817396606468098;"@idtodayco @NasDem @PDemokrat @PKSejahtera @aniesbaswedan @susipudjiastuti @rahmasarita @NajwaShihab @Fahrihamzah @ReflyHZ @nazaqistsha @NarasiNewsroom Semoga Demokrat juga setuju...Demi rakyat, tolonglah kami ingin Perubahan! https://t.co/S2oTwdVsxb";0;1;0;0;in;2926855970;1683630386881126400;DsSupriyady;https://twitter.com/DsSupriyady/status/1683817396606468098
Tue Jul 25 12:28:13 +0000 2023;1683816422194163712;"@mylolworld_ @kisahamatir @kaesangp @jokowi @JeromePolin @TMCPoldaMetro @medan @NajwaShihab @MataNajwa Mas gibran @gibran_tweet tolong kasih tau mas nya njenengan dong😭😭 @bobbynasution_";0;0;0;10;in;1160901259836059648;1683675244127715329;BbhJmyeon;https://twitter.com/BbhJmyeon/status/1683816422194163712
