created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Jul 23 13:58:32 +0000 2023;1683114377464131585;"Tiga tokoh nasional yang digadang-gadang menjadi capres dengan elektabilitas teratas di sejumlah survei pada 2024 mendatang.Ganjar, Anies, dan Prabowo, Kamu Pilih Calon Presiden yang mana? @aniesbaswedan @ganjarpranowo @prabowo @gibran_tweet @NasDem @PDemokrat  @PDI_Perjuangan https://t.co/7l8BISfPV1";0;1;1;2;in;1094322991;1683114377464131585;harian_publik;https://twitter.com/harian_publik/status/1683114377464131585
Sat Jul 22 13:47:26 +0000 2023;1682749192148770816;"@SantorinisSun Publik menilai ada 2 kepala daerah setingkat walikota yg bs diajak kolaborasi dg GP yaitu Mas Gibran dg kang Arya Bima. Kedua sosok tokoh mudah bisa mendongkrak suara  pemilik pemula pilih GP jd presiden di 2024";0;0;0;0;in;1610251288331321344;1682730315599720449;YusufAlfari_02;https://twitter.com/YusufAlfari_02/status/1682749192148770816
Sun May 28 07:53:09 +0000 2023;1662728704215367681;"Anies Rasyid Baswedan adalah tokoh publik yang paling banyak alami hambatan, tekanan, penjegalan, dan segala usaha untuk menghalanginya maju Pilpres. #Indonesia #Nalar?  2024 Jangan lagi salah pilih pemimpin pro status quo/oligarki. Lakukan Perubahan …💪 https://t.co/EcRsc33cWS";8;78;280;794;in;129750289;1662728704215367681;ZAEffendy;https://twitter.com/ZAEffendy/status/1662728704215367681
Mon May 22 08:21:03 +0000 2023;1660561398223761409;"Ayah dua anak ini tidak pilih kasih. Siapapun tokoh publik yang menyambangi Solo, apapun partainya, Gibran Rakabuming selalu menyempatkan untuk menemani sekalian bersilaturahmi.  #SemuaDukungPrabowo #IkutPakde Prabowo Subianto";0;1;0;0;in;909824927695589376;1660560726300446723;golbachgoals;https://twitter.com/golbachgoals/status/1660561398223761409
Fri May 19 00:57:34 +0000 2023;1659362626516951045;"Ingat, apa yang terpampang di media sosial itu adalah hasil  beberapa kali re-take, kemudian pilih yang paling bagus, pakai filter dari beragam filter.  Jadi gk semuanya sesuai kenyataan apa yang di posting tokoh politik, publik figur, Aktris, Aktor, dll.";0;1;0;0;in;125875896;1659362626516951045;apip_tech;https://twitter.com/apip_tech/status/1659362626516951045
Mon Apr 17 04:00:34 +0000 2023;1647812270884540419;"@gibran_tweet Sudah berhari-hari,kami menunggu. Mohon Mas Wali dapat membaca pesan dan surat kami. Buktikan anda tidak tebang pilih sebagai pejabat sekaligus tokoh publik dalam merespon masyarakat. Terimakasih🙏";0;0;0;0;in;1637499810323501056;1640585794271449090;ArNaganusa;https://twitter.com/ArNaganusa/status/1647812270884540419
Sat Apr 08 08:08:53 +0000 2023;1644613271176232960;"Rasanya kerja tokoh publik top down adalah sejarah orde lama, sekarang jamannya bottom up, suara kita wajib didengar oleh orang yang kita pilih, baik saat pencoblosan maupun saat bekerja selama 5 tahun, salah satunya melalui media sosial";0;1;0;0;in;79925557;1644607730139938816;pikiranfaiz;https://twitter.com/pikiranfaiz/status/1644613271176232960
Sat Apr 08 07:49:24 +0000 2023;1644608364629094400;"Beruntung di era sekarang, kita bisa dengan mudah mengawasi tokoh publik, dulu susah sekali kita tahu apa saja yang dikerjakan orang yang kita pilih";0;1;0;0;in;79925557;1644607730139938816;pikiranfaiz;https://twitter.com/pikiranfaiz/status/1644608364629094400
Sat Apr 08 07:46:52 +0000 2023;1644607730139938816;"Saya pikir, Gubernur jabar memang milik wargi jabar, sudah seharusnya tokoh publik rajin ngonten sebagai bentuk laporan ke publik, kita pilih dia utk kerja sebagai perwakilan kita selama 5 tahun, tentu sebagai pemilik kita harus awasi, dan harus terima laporan  - A Thread";0;1;0;0;in;79925557;1644607730139938816;pikiranfaiz;https://twitter.com/pikiranfaiz/status/1644607730139938816
Wed Mar 29 22:06:29 +0000 2023;1641200178182098944;"@mas_udS @FaktaSepakbola kalo udah jadi tokoh publik besar semua ucapan itu bakal berpengaruh paling gampang dulu ronaldo geser coca cola terus pilih air putih sampe saham coca cola anjlok lo pikir dia pake statmen resmi segala ???? pikir kembali itu semua. DASAR LUCU!!";0;2;0;9;in;123568468;1641186703238107136;Rizkal_arsya;https://twitter.com/Rizkal_arsya/status/1641200178182098944
Wed Mar 29 20:15:44 +0000 2023;1641172308101574656;"@KepaArgawinata2 Asuuuu semua mereka mari kita tetapkan jgn pilih mereka sebagai tokoh publik😡😡😡";0;0;0;1;in;2574046178;1641116020759998465;MaliqRidwane;https://twitter.com/MaliqRidwane/status/1641172308101574656
Wed Mar 29 09:00:49 +0000 2023;1641002458301485057;"@DokterTifa @aniesbaswedan Figur harus punya identitas yang jelas dan tegas + sehingga publik gak dibuat bingung... Sejauh ini Anies sudah ter-branding dg baik sbg tokoh intelektual religius ... Meski dianggap politik identitas, padahal identitas itu penting...! Biar rakyat gak salah pilih..!!!";0;1;0;16;in;1436986479914323971;1640954504857419777;CakTainKomari;https://twitter.com/CakTainKomari/status/1641002458301485057
