created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jul 26 07:49:38 +0000 2023;1684108703329566723;""Indonesia dan Prancis juga telah saling mendukung di berbagai forum internasional." tutur Prabowo. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;0;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108703329566723
Wed Jul 26 07:49:38 +0000 2023;1684108700330659841;"Keyakinan Gerindra Tentang Kode Dukungan Jokowi ke Prabowo https://t.co/god3k89b4M #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;0;0;0;in;1623157914516226049;1684108700330659841;SherynaTantri;https://twitter.com/SherynaTantri/status/1684108700330659841
Wed Jul 26 07:49:35 +0000 2023;1684108690348216320;"Peneliti Badan Riset dan Inovasi Nasional (BRIN), Dewi Fortuna Anwar, menyoroti pidato Menhan RI Prabowo Subianto yang mendorong dialog antara China #PrabowoUntukSemua #MasaDepanAnakKita #PrabowoSubianto KodeKita08";0;0;0;0;in;1664362430028300293;1684108690348216320;becker_mar44483;https://twitter.com/becker_mar44483/status/1684108690348216320
Wed Jul 26 07:49:35 +0000 2023;1684108687814844417;"Kemudian pada bidang pendidikan, lanjut Prabowo, Indonesia mendorong adanya latihan bersama. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108687814844417
Wed Jul 26 07:49:33 +0000 2023;1684108681556938752;"dan sesuai perintah Presiden Jokowi ini artinya bahwa ke depan hubungan kedua negara akan berjalan untuk jangka waktu yang panjang," kata Prabowo. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108681556938752
Wed Jul 26 07:49:32 +0000 2023;1684108676804796416;""Tadi pembicaraan 2+2 telah berjalan dengan sangat baik dan hubungan kita [RI-Prancis] khususnya di bidang pertahanan adalah yang terbaik dalam beberapa dasawarsa ini, #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108676804796416
Wed Jul 26 07:49:30 +0000 2023;1684108668755939329;"Hal ini dikatakannya usai menghadiri pertemuan 2+2 antara Menteri Luar Negeri dan Menteri Pertahanan RI-Prancis, di Prancis, Jumat (21/7). #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108668755939329
Wed Jul 26 07:49:28 +0000 2023;1684108660929339392;"kerja sama di bidang pertahanan Indonesia dan Prancis adalah yang terbaik dalam beberapa dasawarsa, terutama pada program alih teknologi serta akuisisi peralatan pertahanan. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108660929339392
Wed Jul 26 07:49:27 +0000 2023;1684108658165293057;"Oleh karena itu, pemikiran Honneth relevan dalam menghindari sikap diskriminatif terhadap orang lain, menghindari rasisme, dan sikap-sikap yang dapat memecah keutuhan bangsa. #PrabowoUntukSemua #MasaDepanAnakKita #PrabowoSubianto KodeKita08";0;0;0;0;in;1664333801231732736;1684108658165293057;MccormickM2260;https://twitter.com/MccormickM2260/status/1684108658165293057
Wed Jul 26 07:49:27 +0000 2023;1684108655480958977;"Sebelumnya juga, Prabowo mengatakan di bawah pemerintahan Presiden Joko Widodo (Jokowi), #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108655480958977
Wed Jul 26 07:49:26 +0000 2023;1684108651827720192;"Sebelumnya, Menhan Prabowo dan Menlu Retno menghadiri pertemuan 2+2 dengan Menhan Prancis Sebastien Lecornu dan Menlu Prancis Catherine Colonna. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108651827720192
Wed Jul 26 07:49:25 +0000 2023;1684108646727454721;"dan meningkatkan kerja sama internasional di bidang pertahanan, termasuk bekerja sama dengan negara-negara Pasifik Selatan,” ungkap Menhan Prabowo. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1614854441127284737;1684108613324001280;alfisahdinardi;https://twitter.com/alfisahdinardi/status/1684108646727454721
