created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Jul 26 07:43:37 +0000 2023;1684107187457769472;"SAH Perjuangan Bantuan Tunai Bagi Korban PHK #PrabowoNeruskePakdhe #PrabowoSubianto #KitaGerindra https://t.co/bHOrXxJlAN";0;0;0;0;in;4579831158;1684107187457769472;ChairudinN6548;https://twitter.com/ChairudinN6548/status/1684107187457769472
Wed Jul 26 07:43:27 +0000 2023;1684107146391326720;"Tidak lain adalah Menhan RI Prabowo Subianto yang membawa pengakuan dunia international kepada Negara kita. #PrabowoUntukSemua #MasaDepanAnakKita #PrabowoSubianto KodeKita08";0;0;0;0;in;1664333801231732736;1684107146391326720;MccormickM2260;https://twitter.com/MccormickM2260/status/1684107146391326720
Wed Jul 26 07:43:11 +0000 2023;1684107079735455745;"Sebelumnya, Menhan Prabowo dan Menlu Retno menghadiri pertemuan 2+2 dengan Menhan Prancis Sebastien Lecornu dan Menlu Prancis Catherine Colonna. (Biro Humas Setjen Kemhan) #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;0;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107079735455745
Wed Jul 26 07:43:11 +0000 2023;1684107077428604928;"yaitu mengembangkan dan meningkatkan kerja sama internasional di bidang pertahanan, termasuk bekerja sama dengan negara-negara Pasifik Selatan,” ungkap Menhan Prabowo. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107077428604928
Wed Jul 26 07:43:10 +0000 2023;1684107075234988032;"“Saya ingin menggaris bawahi salah satu prinsip kebijakan pertahanan Indonesia 2020–2024, #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107075234988032
Wed Jul 26 07:43:10 +0000 2023;1684107073968304128;"Pidato bernada keras dan tajam tersebut seakan membuktikan kepada dunia bahwa Negara Indonesia sudah sebanding dengan Negara-negara maju lainnya. #PrabowoUntukSemua #MasaDepanAnakKita #PrabowoSubianto KodeKita08";0;0;0;0;in;1664427734980780034;1684107073968304128;patience_b15163;https://twitter.com/patience_b15163/status/1684107073968304128
Wed Jul 26 07:43:10 +0000 2023;1684107072856805376;"Selain itu juga, dibahas kerja sama pertahanan kedua negara yang tidak hanya soal jual beli alutsista, namun juga transfer teknologi, pengembangan dan produksi bersama, sampai kepada soal keamanan. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107072856805376
Wed Jul 26 07:43:09 +0000 2023;1684107070336016384;"Dalam pertemuan itu Menhan Prabowo dan Presiden Macron membahas kesiapan Indonesia untuk memperkokoh kemitraan strategis dengan Prancis berdasarkan prinsip saling menghormati dan saling menguntungkan. #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107070336016384
Wed Jul 26 07:43:08 +0000 2023;1684107068071084032;"Prancis – Menteri Pertahanan Prabowo Subianto dan Menteri Luar Negeri Retno Marsudi melakukan kunjungan kehormatan ke Presiden Prancis Emmanuel Macron, di Istana Elysee, Jumat (21/7). #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107068071084032
Wed Jul 26 07:43:08 +0000 2023;1684107065839730688;"Menhan Prabowo dan Menlu Retno Bertemu Presiden Prancis, Perkokoh Kemitraan Strategis https://t.co/mP8MbhTAX9 #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615702522496430080;1684107065839730688;arakarakan69;https://twitter.com/arakarakan69/status/1684107065839730688
Wed Jul 26 07:43:02 +0000 2023;1684107041294655489;"Dalam konteks ini, pemahaman konsep politik pengakuan Honneth dapat membantu kita untuk memahami pentingnya menghormati dan mengakui martabat setiap individu. #PrabowoUntukSemua #MasaDepanAnakKita #PrabowoSubianto KodeKita08";0;0;0;0;in;1664346434626363392;1684107041294655489;MadelynA58442;https://twitter.com/MadelynA58442/status/1684107041294655489
