created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jul 25 05:11:50 +0000 2023;1683706601306460161;"@ommi_siregar ya allah ....sopo iku kok gundul";0;0;0;0;in;3046943930;1683439542832095236;bodybuilderxxxx;https://twitter.com/bodybuilderxxxx/status/1683706601306460161
Tue Jul 25 05:11:36 +0000 2023;1683706544184250371;"Prabowo Subianto orang yang gak punya adab, demi kekuasaan  #PrabowoSubianto #NihilAdab #TolakPrabowo https://t.co/rWoWD75xVP";0;0;0;0;in;1571045298092539909;1683706544184250371;budi11122233;https://twitter.com/budi11122233/status/1683706544184250371
Tue Jul 25 05:11:34 +0000 2023;1683706533539115008;"Begitu Swejuukk di Lihat mata Pertemuan Putra Bangsa yang keren-keren  #fyp #fypシ #tiktok #fypage  #mendingprabowo #Quotes #gerindrajawatengah #gerindrasragen #sragenhits #jatenghits #mendingprabowo #prabowo #gerindrajateng #gerindra #presiden2024 #presidenpilihanrakyat #jateng https://t.co/fUB4st0L3A";0;0;0;0;in;1588805834397532162;1683706533539115008;gerindra_sragen;https://twitter.com/gerindra_sragen/status/1683706533539115008
Tue Jul 25 05:11:25 +0000 2023;1683706498839625728;"Prabowo Subianto orang yang gak punya adab, demi kekuasaan  #PrabowoSubianto #NihilAdab #TolakPrabowo https://t.co/FH973REXqi";0;0;0;0;in;1571045298092539909;1683706498839625728;budi11122233;https://twitter.com/budi11122233/status/1683706498839625728
Tue Jul 25 05:11:17 +0000 2023;1683706462433087489;"Prabowo dikenal seniornya suka marah-marah   #PrabowoCapresAbadi https://t.co/BXfNOnb8G1";0;0;0;0;in;2496440929;1683706462433087489;ErwinWino;https://twitter.com/ErwinWino/status/1683706462433087489
Tue Jul 25 05:11:16 +0000 2023;1683706459908091905;"Apalagi pertandingan berlangsung cukup sengit. Pemenang  #PrabowoUntukSemua #MasaDepanAnakKita Prabowo Subianto";0;1;0;0;in;1615891696654639106;1683706459908091905;SerigalaEmpat;https://twitter.com/SerigalaEmpat/status/1683706459908091905
Tue Jul 25 05:11:06 +0000 2023;1683706416165539843;"Prabowo udah ga punya nilai jual di Pilpres 2024 https://t.co/ZdxqJXNUHi";0;0;0;0;in;781244297739771904;1683706416165539843;katob_pala;https://twitter.com/katob_pala/status/1683706416165539843
Tue Jul 25 05:10:48 +0000 2023;1683706342450810880;"Prabowo Subianto orang yang gak punya adab, demi kekuasaan  #PrabowoSubianto #NihilAdab #TolakPrabowo https://t.co/NXVeDxzjRS";0;0;0;0;in;1571045298092539909;1683706342450810880;budi11122233;https://twitter.com/budi11122233/status/1683706342450810880
Tue Jul 25 05:10:38 +0000 2023;1683706299169767424;"Prabowo Subianto orang yang gak punya adab, demi kekuasaan  #PrabowoSubianto #NihilAdab #TolakPrabowo https://t.co/KXFUZzUvMy";0;0;0;0;in;1571045298092539909;1683706299169767424;budi11122233;https://twitter.com/budi11122233/status/1683706299169767424
Tue Jul 25 05:10:29 +0000 2023;1683706261882429441;"@simple_heart68 @prabowo @erickthohir Ini kata survey potensial meneruskan kepemimpinan Jokowi! 👍👍👍👍👍👍 https://t.co/DPjpUK5Z0u";0;0;0;0;in;1543997097111760896;1683635324038283264;Nengnengpondasi;https://twitter.com/Nengnengpondasi/status/1683706261882429441
Tue Jul 25 05:10:27 +0000 2023;1683706252927578112;"Prabowo Subianto orang yang gak punya adab, demi kekuasaan  #PrabowoSubianto #NihilAdab #TolakPrabowo https://t.co/1flwHuajll";0;0;0;0;in;1571045298092539909;1683706252927578112;budi11122233;https://twitter.com/budi11122233/status/1683706252927578112
Tue Jul 25 05:10:21 +0000 2023;1683706228420263938;"@JJ_tilu @VIVAcoid Klo gue kasih bukti2 , lu tutup akun, Dan lu, pilih prabowo ya. Jgn wan gardu.";0;0;0;0;in;1604737978752172032;1683075373238726656;WanNgibul_2019;https://twitter.com/WanNgibul_2019/status/1683706228420263938
